"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2026-05-01T22:00:00Z","Nürburgring Combined - Gesamtstrecke 24h","24 Hours of Nurburgring","2026","2","N/A","1","1313",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts","AI"
"1","206","Aston Martin Vantage GT3 EVO","4098","NEC GT3 2026","-413047","-413047","Prestige world wide...wide...wide","3","5","0","Running","-00.000","127","","8:34.787","8:11.480","103","168","51","86","","0","0","","","","","","","","24 Hours of Nurburgring","100","10","86","0"
"1","206","Aston Martin Vantage GT3 EVO","4098","NEC GT3 2026","-413047","1060511","Bryce Tucker","3","5","0","Running","-","42","","8:21.381","8:11.480","103","49","18","86","","3","0","","2453","2480","20","434","20","499","24 Hours of Nurburgring","100","10","86","0"
"1","206","Aston Martin Vantage GT3 EVO","4098","NEC GT3 2026","-413047","979177","Anthony Hall4","3","5","0","Running","-","35","","8:28.944","8:18.519","76","49","10","86","","7","0","","1291","1318","20","426","20","499","24 Hours of Nurburgring","100","10","86","0"
"1","206","Aston Martin Vantage GT3 EVO","4098","NEC GT3 2026","-413047","332342","Hunter W West","3","5","0","Running","-","24","","8:30.018","8:20.490","125","35","8","86","","7","0","","953","972","20","424","20","499","24 Hours of Nurburgring","100","10","86","0"
"1","206","Aston Martin Vantage GT3 EVO","4098","NEC GT3 2026","-413047","1004845","Shaun Wilder","3","5","0","Running","-","26","","8:35.164","8:22.069","118","35","15","86","","7","0","","1097","1116","20","448","20","499","24 Hours of Nurburgring","100","10","86","0"
"2","169","Porsche 911 GT3 R (992)","4098","NEC GT3 2026","-418640","-418640","All the time you have to leave the space","2","6","0","Running","-2 L","33","","8:39.581","8:11.641","10","166","85","84","","0","0","","","","","","","","24 Hours of Nurburgring","98","0","84","0"
"2","169","Porsche 911 GT3 R (992)","4098","NEC GT3 2026","-418640","1199977","Jere Triumf","2","6","0","Running","-","17","","8:28.802","8:11.641","10","95","25","84","","6","0","","1402","1455","20","416","20","499","24 Hours of Nurburgring","98","0","84","0"
"2","169","Porsche 911 GT3 R (992)","4098","NEC GT3 2026","-418640","1211066","Rafael Triumf","2","6","0","Running","-","16","","8:39.494","8:17.392","137","71","60","84","","7","0","","1353","1392","18","203","19","394","24 Hours of Nurburgring","98","0","84","0"
"3","156","Mercedes-AMG GT3 2020","4098","NEC GT3 2026","-504067","-504067","Two Men and a Car","33","28","0","Running","-4 L","0","","8:47.722","8:19.091","108","164","91","82","","0","0","","","","","","","","24 Hours of Nurburgring","99","0","82","0"
"3","156","Mercedes-AMG GT3 2020","4098","NEC GT3 2026","-504067","1198576","Easton Gavin","33","28","0","Running","-","0","","8:31.177","8:19.091","108","92","43","82","","7","0","","1345","1396","11","315","12","499","24 Hours of Nurburgring","99","0","82","0"
"3","156","Mercedes-AMG GT3 2020","4098","NEC GT3 2026","-504067","577320","Phillip Pennell","33","28","0","Running","-","0","","8:44.927","8:22.633","92","72","48","82","","7","0","","1286","1326","15","321","16","499","24 Hours of Nurburgring","99","0","82","0"
"4","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-505353","-505353","Seksowne gnojki RACING TEAM","12","67","0","Running","-4 L","0","","8:47.926","8:18.667","104","164","98","81","","0","0","","","","","","","","24 Hours of Nurburgring","98","0","81","0"
"4","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-505353","1452346","Piter Szewczyk","12","67","0","Running","-","0","","8:28.686","8:19.980","150","55","15","81","","6","0","","1497","1525","14","239","16","499","24 Hours of Nurburgring","98","0","81","0"
"4","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-505353","1359206","Pawel Rusnarczyk","12","67","0","Running","-","0","","8:25.269","8:19.633","19","42","17","81","","9","0","","1409","1431","15","315","16","499","24 Hours of Nurburgring","98","0","81","0"
"4","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-505353","1460767","Tymoteusz Redosz","12","67","0","Running","-","0","","8:33.758","8:18.667","104","25","18","81","","R","0","","1632","1645","11","372","12","499","24 Hours of Nurburgring","98","0","81","0"
"4","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-505353","1421612","Krystian Sikora","12","67","0","Running","-","0","","8:47.053","8:27.770","94","24","33","81","","9","0","","993","1005","14","236","15","348","24 Hours of Nurburgring","98","0","81","0"
"4","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-505353","1238166","Tymoteusz Białkowski","12","67","0","Running","-","0","","8:43.267","8:27.538","79","18","15","81","","5","0","","1386","1395","15","332","15","377","24 Hours of Nurburgring","98","0","81","0"
"5","173","Ferrari 296 GT3","4098","NEC GT3 2026","-454462","-454462","Vistula Racing Team","43","007","0","Running","-4 L","0","","8:48.461","8:18.150","74","164","128","79","","0","0","","","","","","","","24 Hours of Nurburgring","98","0","79","0"
"5","173","Ferrari 296 GT3","4098","NEC GT3 2026","-454462","1305509","Oliver Szturc","43","007","0","Running","-","0","","8:44.604","8:18.150","74","95","74","79","","5","0","","1732","1777","19","320","20","452","24 Hours of Nurburgring","98","0","79","0"
"5","173","Ferrari 296 GT3","4098","NEC GT3 2026","-454462","1187129","Szymon Gumola","43","007","0","Running","-","0","","8:46.094","8:20.305","22","69","54","79","","8","0","","1086","1119","14","255","16","499","24 Hours of Nurburgring","98","0","79","0"
"6","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-385910","-385910","Dyna Doofs Racing","17","33","0","Running","-4 L","3","","8:50.081","8:15.302","153","164","84","78","","0","0","","","","","","","","24 Hours of Nurburgring","98","0","78","0"
"6","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-385910","1176106","Zachary Glidden2","17","33","0","Running","-","0","","8:27.240","8:15.302","153","43","17","78","","4","0","","2170","2188","20","499","20","499","24 Hours of Nurburgring","98","0","78","0"
"6","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-385910","1003150","Nathan Wichers-Schreur","17","33","0","Running","-","0","","8:28.147","8:16.485","96","42","4","78","","4","0","","1836","1854","20","419","20","499","24 Hours of Nurburgring","98","0","78","0"
"6","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-385910","1120223","James Persinger2","17","33","0","Running","-","0","","8:28.031","8:18.129","25","42","23","78","","5","0","","1566","1584","19","305","20","459","24 Hours of Nurburgring","98","0","78","0"
"6","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-385910","1152690","Tyler Rogers4","17","33","0","Running","-","3","","8:38.990","8:26.175","122","27","19","78","","10","0","","781","793","18","223","19","372","24 Hours of Nurburgring","98","0","78","0"
"6","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-385910","713388","Jordan Sprague","17","33","0","Running","-","0","","10:42.870","9:19.411","48","10","21","78","","10","0","","570","574","15","331","15","326","24 Hours of Nurburgring","98","0","78","0"
"7","156","Mercedes-AMG GT3 2020","4098","NEC GT3 2026","-168833","-168833","Phase2","55","13","0","Running","-5 L","0","","8:50.956","8:17.772","32","163","73","76","","0","0","","","","","","","","24 Hours of Nurburgring","99","0","76","0"
"7","156","Mercedes-AMG GT3 2020","4098","NEC GT3 2026","-168833","1087889","Markus Kutterer","55","13","0","Running","-","0","","8:40.228","8:25.363","142","60","21","76","","7","0","","1320","1350","20","499","20","499","24 Hours of Nurburgring","99","0","76","0"
"7","156","Mercedes-AMG GT3 2020","4098","NEC GT3 2026","-168833","1433388","Janusz Tomala","55","13","0","Running","-","0","","8:45.904","8:27.642","103","56","25","76","","10","0","","1167","1195","19","395","20","499","24 Hours of Nurburgring","99","0","76","0"
"7","156","Mercedes-AMG GT3 2020","4098","NEC GT3 2026","-168833","1025309","Jürgen Eckl","55","13","0","Running","-","0","","8:43.793","8:17.772","32","47","27","76","","9","0","","1192","1215","20","499","20","499","24 Hours of Nurburgring","99","0","76","0"
"8","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-480502","-480502","Sharted Jorts Racing","7","19","0","Running","-5 L","0","","8:51.554","8:17.243","90","163","134","75","","0","0","","","","","","","","24 Hours of Nurburgring","98","0","75","0"
"8","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-480502","1374096","Bryce Mclean","7","19","0","Running","-","0","","8:35.500","8:17.243","90","85","50","75","","5","0","","1463","1501","18","269","20","499","24 Hours of Nurburgring","98","0","75","0"
"8","132","BMW M4 GT3 EVO","4098","NEC GT3 2026","-480502","701685","Mark Degroot","7","19","0","Running","-","0","","8:41.326","8:19.883","128","78","84","75","","7","0","","1233","1267","18","254","19","362","24 Hours of Nurburgring","98","0","75","0"
"9","185","Ford Mustang GT3","4098","NEC GT3 2026","-310169","-310169","Elite Sim Racing","6","3","0","Running","-5 L","0","","8:52.118","8:15.766","129","163","99","73","","0","0","","","","","","","","24 Hours of Nurburgring","99","20","73","0"
